Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
verifyElementPresent,Chrome 65.0.3325.181,Verify 'Old Cathedral' image is present,2018-03-26 22:21:13,2018-03-26 22:21:13,0.033s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-26 22:21:13,2018-03-26 22:21:14,0.698s,PASSED
,,,,,,
Test Cases/Home Page/Home - Corner,Chrome 65.0.3325.181,Corner Test Home page,2018-03-26 22:21:14,2018-03-26 22:21:20,5.665s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(FactorialEdgeData),Chrome 65.0.3325.181,,2018-03-26 22:21:14,2018-03-26 22:21:14,0.045s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 22:21:14,2018-03-26 22:21:17,2.326s,PASSED
Statement - For (def index : (1..10)),Chrome 65.0.3325.181,Loop,2018-03-26 22:21:17,2018-03-26 22:21:19,2.391s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-26 22:21:19,2018-03-26 22:21:20,0.691s,PASSED
,,,,,,
Test Cases/Hello Page/Hello - Normal Flow,Chrome 65.0.3325.181,Test Hello page,2018-03-26 22:21:20,2018-03-26 22:21:26,6.273s,PASSED
callTestCase,Chrome 65.0.3325.181,Common utility to verify all 5 links accessible,2018-03-26 22:21:20,2018-03-26 22:21:21,0.900s,PASSED
callTestCase,Chrome 65.0.3325.181,Common utility to traverse to home  page and verify existence of logo,2018-03-26 22:21:21,2018-03-26 22:21:25,4.099s,PASSED
click,Chrome 65.0.3325.181,Click on Hello href,2018-03-26 22:21:25,2018-03-26 22:21:25,0.289s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,Check for presence of logo after click,2018-03-26 22:21:25,2018-03-26 22:21:25,0.022s,PASSED
verifyElementText,Chrome 65.0.3325.181,Compare expected output to variable defined,2018-03-26 22:21:25,2018-03-26 22:21:25,0.053s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-26 22:21:25,2018-03-26 22:21:26,0.667s,PASSED
,,,,,,
Test Cases/Factorial Page/Factorial - Edge,Chrome 65.0.3325.181,Edge Test Factorial page,2018-03-26 22:21:26,2018-03-26 22:21:35,8.408s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(FactorialEdgeData),Chrome 65.0.3325.181,,2018-03-26 22:21:26,2018-03-26 22:21:26,0.031s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 22:21:26,2018-03-26 22:21:29,2.184s,PASSED
navigateToUrl,Chrome 65.0.3325.181,Go to Factorial page,2018-03-26 22:21:29,2018-03-26 22:21:31,2.783s,PASSED
Statement - For (def index : (0..(data.getRowNumbers() - 1))),Chrome 65.0.3325.181,Loop,2018-03-26 22:21:31,2018-03-26 22:21:34,2.450s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-26 22:21:34,2018-03-26 22:21:35,0.725s,PASSED
,,,,,,
Test Cases/Fibonacci Page/Fibonacci - Edge,Chrome 65.0.3325.181,Edge Test Factorial page,2018-03-26 22:21:35,2018-03-26 22:21:42,7.014s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(FibonacciEdgeData),Chrome 65.0.3325.181,,2018-03-26 22:21:35,2018-03-26 22:21:35,0.050s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 22:21:35,2018-03-26 22:21:37,2.213s,PASSED
navigateToUrl,Chrome 65.0.3325.181,Go to Fibonacci page,2018-03-26 22:21:37,2018-03-26 22:21:39,1.495s,PASSED
Statement - For (def index : (0..(data.getRowNumbers() - 1))),Chrome 65.0.3325.181,Loop,2018-03-26 22:21:39,2018-03-26 22:21:41,2.372s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-26 22:21:41,2018-03-26 22:21:42,0.686s,PASSED
,,,,,,
Test Cases/Hello Page/Hello - Edge,Chrome 65.0.3325.181,Edge Test Factorial page,2018-03-26 22:21:42,2018-03-26 22:21:50,8.487s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(HelloEdgeData),Chrome 65.0.3325.181,,2018-03-26 22:21:42,2018-03-26 22:21:42,0.049s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 22:21:42,2018-03-26 22:21:44,2.182s,PASSED
Statement - For (def index : (0..(data.getRowNumbers() - 1))),Chrome 65.0.3325.181,Loop,2018-03-26 22:21:44,2018-03-26 22:21:49,5.347s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-26 22:21:49,2018-03-26 22:21:50,0.656s,PASSED
,,,,,,
Test Cases/Factorial Page/Factorial - Corner,Chrome 65.0.3325.181,Corner Test Factorial page,2018-03-26 22:21:50,2018-03-26 22:22:00,9.692s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(FactorialEdgeData),Chrome 65.0.3325.181,,2018-03-26 22:21:50,2018-03-26 22:21:50,0.021s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 22:21:50,2018-03-26 22:21:53,2.625s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-26 22:21:53,2018-03-26 22:21:54,1.308s,PASSED
Statement - For (def index : (-10..0)),Chrome 65.0.3325.181,Loop,2018-03-26 22:21:54,2018-03-26 22:21:59,4.827s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-26 22:21:59,2018-03-26 22:22:00,0.692s,PASSED
,,,,,,
Test Cases/Fibonacci Page/Fibonacci - Corner,Chrome 65.0.3325.181,Corner Test Fibonacci page,2018-03-26 22:22:00,2018-03-26 22:22:10,10.332s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(FactorialEdgeData),Chrome 65.0.3325.181,,2018-03-26 22:22:00,2018-03-26 22:22:00,0.023s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 22:22:00,2018-03-26 22:22:02,2.212s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-26 22:22:02,2018-03-26 22:22:03,1.258s,PASSED
Statement - For (def index : (1000..1010)),Chrome 65.0.3325.181,Loop,2018-03-26 22:22:03,2018-03-26 22:22:09,5.973s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-26 22:22:09,2018-03-26 22:22:10,0.676s,PASSED
,,,,,,
Test Cases/Hello Page/Hello - Defect,Chrome 65.0.3325.181,Defect Test Hello page,2018-03-26 22:22:10,2018-03-26 22:22:18,7.640s,FAILED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(HelloDefectData),Chrome 65.0.3325.181,,2018-03-26 22:22:10,2018-03-26 22:22:10,0.027s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 22:22:10,2018-03-26 22:22:13,2.187s,PASSED
Statement - For (def index : (0..(data.getRowNumbers() - 1))),Chrome 65.0.3325.181,Loop,2018-03-26 22:22:13,2018-03-26 22:22:17,4.562s,FAILED
closeBrowser,Chrome 65.0.3325.181,,2018-03-26 22:22:17,2018-03-26 22:22:18,0.662s,PASSED
,,,,,,
Test Cases/Cathedral Pics/Cathedral - Direct,Chrome 65.0.3325.181,Access Cathedral link directly,2018-03-26 22:22:18,2018-03-26 22:22:23,4.885s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 22:22:18,2018-03-26 22:22:20,2.223s,PASSED
navigateToUrl,Chrome 65.0.3325.181,Navigate to Cathedral page directly,2018-03-26 22:22:20,2018-03-26 22:22:22,1.533s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,Check the presence of an ordered list with index '1',2018-03-26 22:22:22,2018-03-26 22:22:22,0.047s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,Check the presence of an ordered list with index '2',2018-03-26 22:22:22,2018-03-26 22:22:22,0.028s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,Check the presence of an ordered list with index '3',2018-03-26 22:22:22,2018-03-26 22:22:22,0.030s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,Verify 'Sunny Cathedral' image is present,2018-03-26 22:22:22,2018-03-26 22:22:22,0.023s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,Verify 'Alpenglow Cathedral' image is present,2018-03-26 22:22:22,2018-03-26 22:22:22,0.018s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,Verify 'Old Cathedral' image is present,2018-03-26 22:22:22,2018-03-26 22:22:22,0.023s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-26 22:22:22,2018-03-26 22:22:23,0.662s,PASSED
,,,,,,
Test Cases/Factorial Page/Factorial - Direct,Chrome 65.0.3325.181,Access Factorial link directly,2018-03-26 22:22:23,2018-03-26 22:22:30,7.458s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 22:22:23,2018-03-26 22:22:25,2.282s,PASSED
navigateToUrl,Chrome 65.0.3325.181,Navigate to Factorial page directly,2018-03-26 22:22:25,2018-03-26 22:22:29,3.722s,PASSED
setText,Chrome 65.0.3325.181,Enter input value by passing in variable defined on 'Variable' tab,2018-03-26 22:22:29,2018-03-26 22:22:29,0.150s,PASSED
