Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
verifyElementPresent,Chrome 65.0.3325.181,Verify 'Old Cathedral' image is present,2018-03-26 19:58:14,2018-03-26 19:58:14,0.020s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-26 19:58:14,2018-03-26 19:58:15,0.602s,PASSED
,,,,,,
Test Cases/Home Page/Home - Corner,Chrome 65.0.3325.181,Corner Test Home page,2018-03-26 19:58:15,2018-03-26 19:58:19,4.304s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(FactorialEdgeData),Chrome 65.0.3325.181,,2018-03-26 19:58:15,2018-03-26 19:58:15,0.026s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 19:58:15,2018-03-26 19:58:17,2.001s,PASSED
Statement - For (def index : (1..10)),Chrome 65.0.3325.181,Loop,2018-03-26 19:58:17,2018-03-26 19:58:19,1.469s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-26 19:58:19,2018-03-26 19:58:19,0.599s,PASSED
,,,,,,
Test Cases/Hello Page/Hello - Normal Flow,Chrome 65.0.3325.181,Test Hello page,2018-03-26 19:58:19,2018-03-26 19:58:24,4.845s,PASSED
callTestCase,Chrome 65.0.3325.181,Common utility to verify all 5 links accessible,2018-03-26 19:58:19,2018-03-26 19:58:20,0.867s,PASSED
callTestCase,Chrome 65.0.3325.181,Common utility to traverse to home  page and verify existence of logo,2018-03-26 19:58:20,2018-03-26 19:58:23,2.776s,PASSED
click,Chrome 65.0.3325.181,Click on Hello href,2018-03-26 19:58:23,2018-03-26 19:58:23,0.213s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,Check for presence of logo after click,2018-03-26 19:58:23,2018-03-26 19:58:23,0.030s,PASSED
verifyElementText,Chrome 65.0.3325.181,Compare expected output to variable defined,2018-03-26 19:58:23,2018-03-26 19:58:23,0.096s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-26 19:58:23,2018-03-26 19:58:24,0.654s,PASSED
,,,,,,
Test Cases/Factorial Page/Factorial - Edge,Chrome 65.0.3325.181,Edge Test Factorial page,2018-03-26 19:58:24,2018-03-26 19:58:30,5.494s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(FactorialEdgeData),Chrome 65.0.3325.181,,2018-03-26 19:58:24,2018-03-26 19:58:24,0.019s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 19:58:24,2018-03-26 19:58:26,2.075s,PASSED
navigateToUrl,Chrome 65.0.3325.181,Go to Factorial page,2018-03-26 19:58:26,2018-03-26 19:58:27,0.936s,PASSED
Statement - For (def index : (0..(data.getRowNumbers() - 1))),Chrome 65.0.3325.181,Loop,2018-03-26 19:58:27,2018-03-26 19:58:29,1.646s,PASSED
